step,value,wall_time
1,0.0,1765051039.1418433
2,0.0,1765051052.7219698
3,0.0,1765051066.4452748
4,0.0,1765051080.2442703
5,0.0,1765051093.9909508
6,0.0,1765051107.3172672
7,0.0,1765051120.8193183
8,0.0,1765051136.0453715
9,0.0,1765051150.8069363
10,0.0,1765051167.7767723
11,0.0,1765051181.8392148
12,0.0,1765051195.0249443
13,0.0,1765051209.6149778
14,0.0,1765051224.0336285
15,0.0,1765051238.5667455
16,0.0,1765051252.2497249
17,0.0,1765051265.0159478
18,0.0,1765051277.759602
19,0.0,1765051290.5181055
20,0.0,1765051391.8259122
21,0.0,1765051406.4789817
22,0.0,1765051421.698929
23,0.0,1765051437.2985964
24,0.0,1765051452.4724543
25,0.0,1765051466.237098
26,0.0,1765051480.3343043
27,0.0,1765051494.1084003
28,0.0,1765051507.6342366
29,0.0,1765051521.8520088
30,0.0,1765051536.0116389
31,0.0,1765051550.0373476
32,0.0,1765051563.8904037
33,0.0,1765051578.6720724
34,0.0,1765051596.0389194
35,0.0,1765051612.175423
36,0.0,1765051626.5614944
37,0.0,1765051641.5479493
38,0.0,1765051656.2262247
39,0.0,1765051670.5749366
40,0.0,1765051780.8324695
41,0.0,1765051793.8942766
42,0.0,1765051806.8591466
43,0.0,1765051819.7818477
44,0.0,1765051832.63006
45,0.0,1765051845.928045
46,0.0,1765051858.6766894
47,0.0,1765051872.426491
48,0.0,1765051886.5648375
49,0.0,1765051900.4670172
50,0.0,1765051916.2114646
51,0.0,1765051932.0269573
52,0.0,1765051945.4516988
53,0.0,1765051958.8539886
54,0.0,1765051972.2718866
55,0.0,1765051985.834247
56,0.0,1765051999.8968308
57,0.0,1765052014.3755639
58,0.0,1765052029.6614697
59,0.0,1765052043.2925398
60,0.0,1765052149.1979287
61,0.0,1765052163.8022773
62,0.0,1765052178.552547
63,0.0,1765052191.598234
64,0.0,1765052204.7418916
65,0.0,1765052217.6751573
66,0.0,1765052230.452103
67,0.0,1765052243.7522838
68,0.0,1765052256.626888
69,0.0,1765052269.879842
70,0.0,1765052282.9642532
71,0.0,1765052296.4203668
72,0.0,1765052309.6558912
73,0.0,1765052322.9239087
74,0.0,1765052336.0735495
75,0.0,1765052349.0861747
76,0.0,1765052362.6114202
77,0.0,1765052375.6796038
