step,value,wall_time
1,0.042309798300266266,1765051039.1418433
2,0.07155733555555344,1765051052.7219698
3,0.0481475368142128,1765051066.4452748
4,0.03996146097779274,1765051080.243267
5,0.019790664315223694,1765051093.9909508
6,0.01747422106564045,1765051107.3162606
7,0.0037183412350714207,1765051120.8183157
8,0.0006636040634475648,1765051136.044367
9,0.003330499166622758,1765051150.8059328
10,0.00109867041464895,1765051167.7757475
11,0.00036729470593854785,1765051181.8392148
12,0.0007578818476758897,1765051195.0249443
13,0.001565552200190723,1765051209.6149778
14,0.0009311738540418446,1765051224.0336285
15,0.0005522802239283919,1765051238.5657482
16,0.00030439114198088646,1765051252.248718
17,0.0011115497909486294,1765051265.014936
18,-0.0,1765051277.759602
19,0.0005008006119169295,1765051290.517072
20,2.422975012450479e-05,1765051391.8259122
21,0.0013616695068776608,1765051406.4779785
22,1.859054646047298e-05,1765051421.698929
23,-0.0,1765051437.2975907
24,-0.0,1765051452.4724543
25,-0.0,1765051466.237098
26,-0.0,1765051480.3333063
27,0.0005348083795979619,1765051494.1084003
28,0.00027711366419680417,1765051507.6332343
29,5.082152711111121e-05,1765051521.8520088
30,-0.0,1765051536.0116389
31,0.00011816360347438604,1765051550.0363376
32,6.442364792746957e-07,1765051563.8904037
33,3.909227962139994e-05,1765051578.6710525
34,-0.0,1765051596.037907
35,0.00012599931505974382,1765051612.175423
36,0.00026804476510733366,1765051626.5604439
37,0.0012555447174236178,1765051641.5479493
38,0.0003531723632477224,1765051656.2262247
39,0.0021978754084557295,1765051670.573931
40,0.0005606869817711413,1765051780.8324695
41,9.981683251680806e-05,1765051793.8929763
42,2.0375271560624242e-05,1765051806.8591466
43,-0.0,1765051819.780842
44,-0.0,1765051832.629051
45,-0.0,1765051845.9269743
46,0.0008787964470684528,1765051858.6766894
47,6.440358265535906e-05,1765051872.426491
48,-0.0,1765051886.5638156
49,2.590147778391838e-05,1765051900.4670172
50,2.2596121198148467e-05,1765051916.2104611
51,0.00010812150139827281,1765051932.025355
52,0.0004856572486460209,1765051945.4516988
53,8.840419241096242e-08,1765051958.8539886
54,9.276349737774581e-05,1765051972.2718866
55,-0.0,1765051985.834247
56,-0.0,1765051999.8968308
57,1.190066359413322e-05,1765052014.3755639
58,2.3857228370616212e-05,1765052029.6614697
59,0.0001735465630190447,1765052043.2925398
60,0.0003622677468229085,1765052149.1968393
61,7.392792667815229e-06,1765052163.801276
62,0.00014577768160961568,1765052178.5512125
63,0.00031916212174110115,1765052191.5968175
64,-0.0,1765052204.7418916
65,3.579746771720238e-05,1765052217.6751573
66,0.00028620491502806544,1765052230.4508643
67,9.434235107619315e-05,1765052243.7522838
68,-0.0,1765052256.626888
69,8.224347766372375e-06,1765052269.879842
70,5.972558938083239e-06,1765052282.9642532
71,7.743702008156106e-05,1765052296.4203668
72,0.0005840124213136733,1765052309.654888
73,0.00015964724298100919,1765052322.9227028
74,0.0005365542601794004,1765052336.0720634
75,0.002604723209515214,1765052349.0861747
76,0.00026205729227513075,1765052362.6103518
77,0.00014385697431862354,1765052375.6796038
78,0.0037666442804038525,1765052389.034142
79,0.000499812129419297,1765052402.4536765
80,0.0037414843682199717,1765052507.9457026
81,0.0008549988851882517,1765052522.1544788
82,0.0007242803112603724,1765052536.393617
83,0.004338039085268974,1765052549.5247831
84,0.0008254225831478834,1765052562.791296
