step,value,wall_time
1,-1.3080750703811646,1765051039.1407893
2,-1.7993605136871338,1765051052.720968
3,-1.1701340675354004,1765051066.4442728
4,-1.5082226991653442,1765051080.2422626
5,-0.9075530767440796,1765051093.989583
6,-2.2319767475128174,1765051107.3162606
7,-2.342820167541504,1765051120.817312
8,-4.255237102508545,1765051136.0433524
9,-3.9276678562164307,1765051150.8049283
10,-3.888742685317993,1765051167.7747445
11,-3.17061710357666,1765051181.8381805
12,-3.9153358936309814,1765051195.0227776
13,-3.4952163696289062,1765051209.6135273
14,-3.216451644897461,1765051224.0326219
15,-3.0693063735961914,1765051238.564751
16,-2.9654979705810547,1765051252.2476468
17,-2.6499791145324707,1765051265.0139167
18,-2.4001762866973877,1765051277.7585769
19,-2.354407548904419,1765051290.517072
20,-1.9313362836837769,1765051391.824451
21,-2.0021893978118896,1765051406.4768765
22,-1.6871083974838257,1765051421.697913
23,-1.642716646194458,1765051437.2965674
24,-1.7459505796432495,1765051452.4714527
25,-1.6265584230422974,1765051466.2360969
26,-1.513940453529358,1765051480.3323038
27,-1.4392454624176025,1765051494.1063948
28,-1.6853479146957397,1765051507.6322308
29,-1.7490357160568237,1765051521.8510046
30,-1.5772968530654907,1765051536.0106385
31,-1.664201259613037,1765051550.0353367
32,-1.8139822483062744,1765051563.889386
33,-1.7139627933502197,1765051578.6698055
34,-2.0219340324401855,1765051596.0368984
35,-2.1973915100097656,1765051612.1733935
36,-2.272963523864746,1765051626.55944
37,-2.240349531173706,1765051641.5469334
38,-2.185670852661133,1765051656.2242162
39,-2.305691719055176,1765051670.5724788
40,-2.1373982429504395,1765051780.8314579
41,-2.4304134845733643,1765051793.8929763
42,-2.024245262145996,1765051806.8581166
43,-1.8046321868896484,1765051819.779837
44,-2.0062341690063477,1765051832.6280427
45,-1.6321625709533691,1765051845.9258666
46,-1.8669036626815796,1765051858.675685
47,-1.7553154230117798,1765051872.4244468
48,-1.7109410762786865,1765051886.5628042
49,-1.5860850811004639,1765051900.4659975
50,-1.8510493040084839,1765051916.2094584
51,-1.6949609518051147,1765051932.0243518
52,-1.7050058841705322,1765051945.449704
53,-1.7418795824050903,1765051958.8539886
54,-1.5935237407684326,1765051972.2708895
55,-2.013385057449341,1765051985.8332388
56,-2.248413324356079,1765051999.8957434
57,-1.8810992240905762,1765052014.3725717
58,-2.1269984245300293,1765052029.6604726
59,-2.094069719314575,1765052043.2915418
60,-2.086430311203003,1765052149.1958418
61,-2.3897032737731934,1765052163.8007722
62,-2.4257020950317383,1765052178.5512125
63,-2.2049827575683594,1765052191.5968175
64,-2.5129430294036865,1765052204.7408843
65,-2.4704678058624268,1765052217.6738951
66,-2.7579145431518555,1765052230.4508643
67,-2.5899672508239746,1765052243.7512772
68,-2.239729404449463,1765052256.6258817
69,-2.4840502738952637,1765052269.878839
70,-2.549065589904785,1765052282.963251
71,-2.4720304012298584,1765052296.4193628
72,-2.3341641426086426,1765052309.653887
73,-2.420461893081665,1765052322.921704
74,-2.3061299324035645,1765052336.0720634
75,-2.578552722930908,1765052349.08516
76,-2.497089147567749,1765052362.6093445
77,-2.7494380474090576,1765052375.678098
78,-2.5439560413360596,1765052389.0331411
79,-2.433551073074341,1765052402.4526823
80,-2.2587978839874268,1765052507.9446986
81,-2.3046109676361084,1765052522.1544788
82,-3.2360832691192627,1765052536.393617
83,-3.163853406906128,1765052549.5247831
84,-2.389892816543579,1765052562.7902894
85,-2.5162951946258545,1765052576.1584592
86,-2.2210474014282227,1765052589.9138749
87,-2.554494619369507,1765052603.6798937
88,-2.452282428741455,1765052617.5393364
89,-2.4409842491149902,1765052631.5077412
90,-2.782546043395996,1765052646.1968129
91,-2.970950126647949,1765052661.1761386
92,-2.7122104167938232,1765052676.2517836
93,-2.215763568878174,1765052690.2292309
94,-2.387389659881592,1765052704.290674
95,-2.3142502307891846,1765052717.8663173
96,-2.955089569091797,1765052731.055478
97,-2.5043230056762695,1765052744.090848
98,-2.864652156829834,1765052757.894518
99,-2.7289135456085205,1765052771.6209607
100,-3.649965524673462,1765052877.652753
101,-2.774040699005127,1765052891.2417252
102,-2.979933023452759,1765052905.057757
103,-2.7860496044158936,1765052918.1978965
104,-3.2310283184051514,1765052931.8582132
105,-3.4409451484680176,1765052945.0763185
106,-3.163064956665039,1765052958.776351
107,-3.2937092781066895,1765052972.9375856
108,-3.3789966106414795,1765052987.5667734
109,-3.3450422286987305,1765053002.3729627
110,-3.408710479736328,1765053016.076481
111,-3.24454927444458,1765053029.808528
112,-3.5999581813812256,1765053043.4964716
113,-3.5465316772460938,1765053056.8998067
114,-4.172816753387451,1765053070.585266
115,-4.312211036682129,1765053084.0583858
116,-3.4914748668670654,1765053097.246533
117,-3.5775909423828125,1765053111.6851969
118,-4.275190353393555,1765053127.6565232
119,-3.610539197921753,1765053143.1722624
120,-3.7120590209960938,1765053249.6724188
121,-4.017152309417725,1765053263.1852095
122,-4.0419158935546875,1765053276.3908272
123,-4.183876991271973,1765053290.027718
124,-4.69129753112793,1765053304.8061798
125,-4.225856304168701,1765053318.7092118
126,-4.166197776794434,1765053332.1482112
127,-4.201066493988037,1765053345.691833
128,-4.559459209442139,1765053359.0986438
129,-4.010882377624512,1765053372.7430668
130,-4.047413349151611,1765053386.1882055
131,-4.118396759033203,1765053399.4595664
132,-4.301575660705566,1765053412.6569033
133,-4.184727191925049,1765053427.1028342
134,-3.997997283935547,1765053440.573749
135,-4.104282379150391,1765053453.4430997
136,-4.356863975524902,1765053467.098432
137,-4.28896951675415,1765053480.4409013
138,-4.30189847946167,1765053493.7288322
139,-4.279774188995361,1765053507.4352624
140,-4.201613903045654,1765053609.960671
141,-4.519554138183594,1765053623.4239485
142,-4.20281457901001,1765053637.39905
143,-4.669146537780762,1765053652.0414982
144,-4.329763412475586,1765053668.2839205
145,-4.443990707397461,1765053682.5935078
146,-4.81373929977417,1765053695.836319
147,-4.842589855194092,1765053709.1913114
148,-4.951878547668457,1765053722.2363591
149,-4.500979900360107,1765053735.4758582
150,-4.528689384460449,1765053748.459811
151,-4.364659786224365,1765053761.6309383
152,-4.44666862487793,1765053774.6527998
153,-4.5693182945251465,1765053787.8789985
154,-4.872182846069336,1765053800.7084923
155,-4.179095268249512,1765053813.934269
156,-4.38523006439209,1765053827.214685
