step,value,wall_time
1,-0.10881994664669037,1765051039.1428456
2,-0.021625623106956482,1765051052.7229695
3,-0.021710358560085297,1765051066.4462922
4,-0.021635213866829872,1765051080.24528
5,-0.0217012707144022,1765051093.9920268
6,-0.021709371358156204,1765051107.318271
7,-0.021706871688365936,1765051120.8193183
8,-0.12921252846717834,1765051136.0453715
9,-0.024119464680552483,1765051150.8069363
10,-0.021595565602183342,1765051167.7777758
11,-0.021314742043614388,1765051181.84022
12,-0.021696515381336212,1765051195.0259562
13,-0.021680083125829697,1765051209.615979
14,-0.02163468487560749,1765051224.034694
15,-0.021691786125302315,1765051238.567743
16,-0.020989496260881424,1765051252.2497249
17,-0.02162257581949234,1765051265.0159478
18,-0.023501574993133545,1765051277.7606065
19,-0.021615702658891678,1765051290.519225
20,-0.02158007211983204,1765051391.8269167
21,-0.021679293364286423,1765051406.4789817
22,-0.021406596526503563,1765051421.6999547
23,-0.02163626067340374,1765051437.2996445
24,-0.021669646725058556,1765051452.4736865
25,-0.021692944690585136,1765051466.2384198
26,-0.0216512493789196,1765051480.335335
27,-0.02170267142355442,1765051494.109407
28,-0.021658267825841904,1765051507.6352408
29,-0.021701989695429802,1765051521.8520088
30,-0.021612199023365974,1765051536.0126498
31,-0.021705998107790947,1765051550.0373476
32,-0.021695425733923912,1765051563.8914053
33,-0.021708527579903603,1765051578.6730812
34,-0.021710852161049843,1765051596.0399725
35,-0.021709119901061058,1765051612.1764255
36,-0.02169422060251236,1765051626.5614944
37,-0.021697424352169037,1765051641.5489533
38,-0.021680962294340134,1765051656.2272425
39,-0.021695217117667198,1765051670.5749366
40,-0.02168329618871212,1765051780.833472
41,-0.021694153547286987,1765051793.8952832
42,-0.02169322967529297,1765051806.8601558
43,-0.021703872829675674,1765051819.7818477
44,-0.021707141771912575,1765051832.6310692
45,-0.021705135703086853,1765051845.9290652
46,-0.021710066124796867,1765051858.6778042
47,-0.021707812324166298,1765051872.4274995
48,-0.02170485071837902,1765051886.5658393
49,-0.02170422114431858,1765051900.4680235
50,-0.021708110347390175,1765051916.2114646
51,-0.021707331761717796,1765051932.0274174
52,-0.021705877035856247,1765051945.4528286
53,-0.021706610918045044,1765051958.8554635
54,-0.021711397916078568,1765051972.2728841
55,-0.021711330860853195,1765051985.8352547
56,-0.02171143889427185,1765051999.8978426
57,-0.02171150967478752,1765052014.3755639
58,-0.021711762994527817,1765052029.6624668
59,-0.02171175368130207,1765052043.2935374
60,-0.021711569279432297,1765052149.1991198
61,-0.021711844950914383,1765052163.803286
62,-0.021711865440011024,1765052178.552547
63,-0.021711887791752815,1765052191.5988379
64,-0.02171180211007595,1765052204.742896
65,-0.021711649373173714,1765052217.6762178
66,-0.0217118039727211,1765052230.453106
67,-0.021711789071559906,1765052243.7533374
68,-0.02171136997640133,1765052256.628284
69,-0.02171177975833416,1765052269.8808475
70,-0.021711843088269234,1765052282.9652581
71,-0.021711625158786774,1765052296.4214175
72,-0.021711863577365875,1765052309.6558912
73,-0.021711736917495728,1765052322.9239087
74,-0.021711790934205055,1765052336.0745535
75,-0.021711859852075577,1765052349.0871797
76,-0.02171171084046364,1765052362.6124358
77,-0.0217109527438879,1765052375.6806977
78,-0.021711792796850204,1765052389.03515
79,-0.021710336208343506,1765052402.45468
80,-0.02171064168214798,1765052507.9467077
81,-0.02171177789568901,1765052522.1559691
82,-0.021711865440011024,1765052536.3956246
83,-0.02171170525252819,1765052549.5268028
84,-0.021711165085434914,1765052562.7922988
85,-0.021710991859436035,1765052576.1604824
86,-0.021711530163884163,1765052589.9151201
87,-0.02171183004975319,1765052603.6833355
88,-0.02171171084046364,1765052617.541353
89,-0.021711692214012146,1765052631.509773
90,-0.021711748093366623,1765052646.1988242
91,-0.021711839362978935,1765052661.1793694
92,-0.02171112783253193,1765052676.2548752
93,-0.02170916460454464,1765052690.2312806
94,-0.021710390225052834,1765052704.292686
95,-0.021707814186811447,1765052717.8688276
96,-0.02170584909617901,1765052731.0574877
97,-0.021705886349081993,1765052744.0933166
98,-0.02170596458017826,1765052757.8965242
99,-0.021705765277147293,1765052771.6223173
100,-0.021708490327000618,1765052877.6552193
101,-0.021710088476538658,1765052891.244886
102,-0.021710196509957314,1765052905.058936
103,-0.021710650995373726,1765052918.2002146
104,-0.021706055849790573,1765052931.8602314
105,-0.021710867062211037,1765052945.0787525
106,-0.02171102724969387,1765052958.7778497
107,-0.021710848435759544,1765052972.9395995
