step,value,wall_time
1,-4.3311052322387695,1765051039.1428456
2,-4.873732089996338,1765051052.7219698
3,-4.874722480773926,1765051066.4462922
4,-4.873782634735107,1765051080.2442703
5,-4.874606609344482,1765051093.9920268
6,-4.874709129333496,1765051107.3172672
7,-4.874676704406738,1765051120.8193183
8,-4.315387725830078,1765051136.0453715
9,-4.8665080070495605,1765051150.8069363
10,-4.873935222625732,1765051167.7777758
11,-4.870389938354492,1765051181.84022
12,-4.874601364135742,1765051195.0249443
13,-4.874372959136963,1765051209.6149778
14,-4.874004364013672,1765051224.034694
15,-4.874605655670166,1765051238.567743
16,-4.866056442260742,1765051252.2497249
17,-4.87422513961792,1765051265.0159478
18,-4.873658180236816,1765051277.7606065
19,-4.873954772949219,1765051290.5181055
20,-4.874062538146973,1765051391.8269167
21,-4.874523162841797,1765051406.4789817
22,-4.873729705810547,1765051421.6999547
23,-4.874362468719482,1765051437.2985964
24,-4.8745646476745605,1765051452.4736865
25,-4.8746018409729,1765051466.2384198
26,-4.874333381652832,1765051480.3343043
27,-4.8746724128723145,1765051494.109407
28,-4.87434720993042,1765051507.6342366
29,-4.874698638916016,1765051521.8520088
30,-4.874113082885742,1765051536.0126498
31,-4.874699592590332,1765051550.0373476
32,-4.874566078186035,1765051563.8914053
33,-4.874714374542236,1765051578.6720724
34,-4.8747334480285645,1765051596.0389194
35,-4.874720573425293,1765051612.1764255
36,-4.874593257904053,1765051626.5614944
37,-4.874611854553223,1765051641.5479493
38,-4.87457799911499,1765051656.2262247
39,-4.8746137619018555,1765051670.5749366
40,-4.874497413635254,1765051780.833472
41,-4.874629020690918,1765051793.8942766
42,-4.874566078186035,1765051806.8601558
43,-4.874660968780518,1765051819.7818477
44,-4.874701499938965,1765051832.63006
45,-4.8746819496154785,1765051845.928045
46,-4.87473201751709,1765051858.6778042
47,-4.8747172355651855,1765051872.4274995
48,-4.874683856964111,1765051886.5648375
49,-4.874702453613281,1765051900.4680235
50,-4.874711036682129,1765051916.2114646
51,-4.874697208404541,1765051932.0274174
52,-4.874682903289795,1765051945.4528286
53,-4.8747029304504395,1765051958.8554635
54,-4.874736309051514,1765051972.2728841
55,-4.874734401702881,1765051985.8352547
56,-4.874735355377197,1765051999.8968308
57,-4.874735355377197,1765052014.3755639
58,-4.874737739562988,1765052029.6624668
59,-4.8747382164001465,1765052043.2935374
60,-4.87473726272583,1765052149.1991198
61,-4.874738693237305,1765052163.8022773
62,-4.874738693237305,1765052178.552547
63,-4.874739170074463,1765052191.5988379
64,-4.8747382164001465,1765052204.742896
65,-4.8747358322143555,1765052217.6751573
66,-4.8747382164001465,1765052230.452103
67,-4.874737739562988,1765052243.7522838
68,-4.874732971191406,1765052256.628284
69,-4.8747382164001465,1765052269.8808475
70,-4.874738693237305,1765052282.9652581
71,-4.8747358322143555,1765052296.4203668
72,-4.874738693237305,1765052309.6558912
73,-4.874737739562988,1765052322.9239087
74,-4.8747382164001465,1765052336.0735495
75,-4.874738693237305,1765052349.0871797
76,-4.874737739562988,1765052362.6114202
77,-4.874727725982666,1765052375.6806977
78,-4.874738693237305,1765052389.03515
79,-4.874721050262451,1765052402.45468
80,-4.874723434448242,1765052507.9467077
81,-4.8747382164001465,1765052522.1559691
82,-4.874738693237305,1765052536.3956246
83,-4.8747382164001465,1765052549.5257862
84,-4.874730110168457,1765052562.7922988
85,-4.874728679656982,1765052576.1604824
86,-4.874734878540039,1765052589.9151201
87,-4.874738693237305,1765052603.6823049
88,-4.8747382164001465,1765052617.541353
89,-4.87473726272583,1765052631.5087473
90,-4.874737739562988,1765052646.1988242
91,-4.874738693237305,1765052661.1783464
92,-4.874734401702881,1765052676.2538419
93,-4.8747124671936035,1765052690.2312806
94,-4.874731540679932,1765052704.292686
95,-4.874694347381592,1765052717.8688276
96,-4.874679088592529,1765052731.0574877
97,-4.87468957901001,1765052744.0933166
98,-4.8747029304504395,1765052757.895521
99,-4.874691009521484,1765052771.6223173
100,-4.874703884124756,1765052877.6542156
101,-4.874723434448242,1765052891.243823
102,-4.874728202819824,1765052905.058936
103,-4.874729633331299,1765052918.2002146
104,-4.87468957901001,1765052931.8602314
105,-4.874731540679932,1765052945.0777466
106,-4.874732971191406,1765052958.7778497
107,-4.87473201751709,1765052972.9395995
108,-4.874727249145508,1765052987.5679827
109,-4.874736309051514,1765053002.3749914
110,-4.874734401702881,1765053016.0779438
111,-4.874736785888672,1765053029.8107243
112,-4.874737739562988,1765053043.4984827
113,-4.87473726272583,1765053056.9018183
114,-4.874722480773926,1765053070.587261
115,-4.874732971191406,1765053084.0603807
116,-4.874733924865723,1765053097.249591
117,-4.87470817565918,1765053111.6872454
118,-4.874733924865723,1765053127.6585176
119,-4.874738693237305,1765053143.1742656
120,-4.874734401702881,1765053249.674428
121,-4.874736785888672,1765053263.187217
122,-4.874732494354248,1765053276.3918338
123,-4.874737739562988,1765053290.0297525
124,-4.87473726272583,1765053304.808205
125,-4.87473726272583,1765053318.7112343
126,-4.874737739562988,1765053332.1502335
127,-4.874732971191406,1765053345.693863
128,-4.874738693237305,1765053359.100655
129,-4.874711036682129,1765053372.7440722
130,-4.874737739562988,1765053386.1902387
131,-4.874685764312744,1765053399.4605727
132,-4.874727725982666,1765053412.6579082
133,-4.874734878540039,1765053427.1048453
134,-4.874736309051514,1765053440.575929
135,-4.874736785888672,1765053453.445109
136,-4.874730110168457,1765053467.0994506
137,-4.874732494354248,1765053480.44291
138,-4.874718189239502,1765053493.7309296
139,-4.874734401702881,1765053507.4373505
140,-4.874683380126953,1765053609.9626875
141,-4.874702453613281,1765053623.425954
142,-4.874595642089844,1765053637.401115
143,-4.873483180999756,1765053652.044628
144,-4.870213985443115,1765053668.2869391
145,-4.867254734039307,1765053682.5966322
146,-4.870055675506592,1765053695.8383288
147,-4.8578877449035645,1765053709.1934574
148,-4.873698711395264,1765053722.238369
149,-4.873176097869873,1765053735.477885
150,-4.87436580657959,1765053748.4611819
151,-4.874725818634033,1765053761.632947
152,-4.874661445617676,1765053774.6538262
153,-4.874735355377197,1765053787.8810058
154,-4.874727249145508,1765053800.7098234
155,-4.8747382164001465,1765053813.9352849
156,-4.874182224273682,1765053827.2166948
157,-4.874738693237305,1765053840.041574
158,-4.874738693237305,1765053854.0854487
159,-4.874735355377197,1765053868.1892161
160,-4.874738693237305,1765053975.9505546
161,-4.8747382164001465,1765053989.0098557
162,-4.874738693237305,1765054004.1531243
163,-4.874738693237305,1765054018.3001144
