step,value,wall_time
1,-36.70719909667969,1765051039.1428456
2,-47.692771911621094,1765051052.7229695
3,-47.7033576965332,1765051066.4462922
4,-47.693965911865234,1765051080.2442703
5,-47.70222091674805,1765051093.9920268
6,-47.7032356262207,1765051107.3172672
7,-47.70292282104492,1765051120.8193183
8,-35.62612533569336,1765051136.0453715
9,-47.57093048095703,1765051150.8069363
10,-47.68952178955078,1765051167.7777758
11,-47.65464782714844,1765051181.84022
12,-47.70170211791992,1765051195.0259562
13,-47.69960021972656,1765051209.615979
14,-47.6943359375,1765051224.034694
15,-47.70111846923828,1765051238.567743
16,-47.614837646484375,1765051252.2497249
17,-47.693607330322266,1765051265.0159478
18,-47.6820068359375,1765051277.7606065
19,-47.692020416259766,1765051290.5181055
20,-47.69355773925781,1765051391.8269167
21,-47.69991683959961,1765051406.4789817
22,-47.67656326293945,1765051421.6999547
23,-47.694801330566406,1765051437.2996445
24,-47.70009994506836,1765051452.4736865
25,-47.70128631591797,1765051466.2384198
26,-47.69606018066406,1765051480.3343043
27,-47.70260238647461,1765051494.109407
28,-47.697017669677734,1765051507.6342366
29,-47.70280456542969,1765051521.8520088
30,-47.69718551635742,1765051536.0126498
31,-47.70282745361328,1765051550.0373476
32,-47.70149612426758,1765051563.8914053
33,-47.70317077636719,1765051578.6730812
34,-47.703453063964844,1765051596.0389194
35,-47.703224182128906,1765051612.1764255
36,-47.70136260986328,1765051626.5614944
37,-47.70175552368164,1765051641.5489533
38,-47.700443267822266,1765051656.2262247
39,-47.701904296875,1765051670.5749366
40,-47.70038986206055,1765051780.833472
41,-47.7016487121582,1765051793.8942766
42,-47.70123291015625,1765051806.8601558
43,-47.70255661010742,1765051819.7818477
44,-47.7030143737793,1765051832.63006
45,-47.70273971557617,1765051845.9290652
46,-47.70338439941406,1765051858.6778042
47,-47.70311737060547,1765051872.4274995
48,-47.70267105102539,1765051886.5648375
49,-47.70269775390625,1765051900.4680235
50,-47.703086853027344,1765051916.2114646
51,-47.70299530029297,1765051932.0274174
52,-47.70286178588867,1765051945.4528286
53,-47.702972412109375,1765051958.8554635
54,-47.703495025634766,1765051972.2728841
55,-47.7034797668457,1765051985.8352547
56,-47.70349884033203,1765051999.8978426
57,-47.7035026550293,1765052014.3755639
58,-47.70353317260742,1765052029.6624668
59,-47.70353317260742,1765052043.2935374
60,-47.703514099121094,1765052149.1991198
61,-47.70354080200195,1765052163.8022773
62,-47.70354461669922,1765052178.552547
63,-47.703548431396484,1765052191.5988379
64,-47.70353698730469,1765052204.742896
65,-47.70351791381836,1765052217.6762178
66,-47.70353698730469,1765052230.452103
67,-47.70353698730469,1765052243.7522838
68,-47.70348358154297,1765052256.628284
69,-47.70353698730469,1765052269.8808475
70,-47.70354461669922,1765052282.9652581
71,-47.703514099121094,1765052296.4214175
72,-47.70354461669922,1765052309.6558912
73,-47.703529357910156,1765052322.9239087
74,-47.70353698730469,1765052336.0735495
75,-47.70354461669922,1765052349.0871797
76,-47.70353317260742,1765052362.6114202
77,-47.70343017578125,1765052375.6806977
78,-47.70353698730469,1765052389.03515
79,-47.7033576965332,1765052402.45468
80,-47.703392028808594,1765052507.9467077
81,-47.70353698730469,1765052522.1559691
82,-47.70354461669922,1765052536.3956246
83,-47.703529357910156,1765052549.5257862
84,-47.70345687866211,1765052562.7922988
85,-47.70344161987305,1765052576.1604824
86,-47.7035026550293,1765052589.9151201
87,-47.70354080200195,1765052603.6833355
88,-47.703529357910156,1765052617.541353
89,-47.70352554321289,1765052631.509773
90,-47.703529357910156,1765052646.1988242
91,-47.70354080200195,1765052661.1783464
92,-47.703468322753906,1765052676.2538419
93,-47.70321273803711,1765052690.2312806
94,-47.703407287597656,1765052704.292686
95,-47.70305252075195,1765052717.8688276
96,-47.70280456542969,1765052731.0574877
