step,value,wall_time
1,-23.570240020751953,1765051039.1418433
2,-33.79447555541992,1765051052.7219698
3,-18.369735717773438,1765051066.4462922
4,-21.39329719543457,1765051080.2442703
5,-13.289134979248047,1765051093.9909508
6,-9.68021011352539,1765051107.3172672
7,-24.177143096923828,1765051120.8193183
8,-56.5880012512207,1765051136.0453715
9,-25.982349395751953,1765051150.8069363
10,-43.467830657958984,1765051167.7777758
11,-57.85332489013672,1765051181.8392148
12,-45.79168701171875,1765051195.0249443
13,-40.11479568481445,1765051209.6149778
14,-64.51129913330078,1765051224.0336285
15,-64.97711944580078,1765051238.5667455
16,-70.5604248046875,1765051252.2497249
17,-62.92190933227539,1765051265.0159478
18,-114.3287124633789,1765051277.759602
19,-70.81437683105469,1765051290.5181055
20,-112.2801742553711,1765051391.8259122
21,-57.36570739746094,1765051406.4789817
22,-127.02104949951172,1765051421.6999547
23,-132.5159912109375,1765051437.2985964
24,-143.2125244140625,1765051452.4736865
25,-138.8245391845703,1765051466.237098
26,-158.4696807861328,1765051480.3343043
27,-73.08309173583984,1765051494.1084003
28,-84.94087982177734,1765051507.6342366
29,-109.69579315185547,1765051521.8520088
30,-112.4312973022461,1765051536.0126498
31,-104.91629791259766,1765051550.0373476
32,-115.60693359375,1765051563.8904037
33,-96.63197326660156,1765051578.6720724
34,-117.59212493896484,1765051596.0389194
35,-85.08622741699219,1765051612.1764255
36,-67.5149917602539,1765051626.5614944
37,-43.99612045288086,1765051641.5479493
38,-64.54389953613281,1765051656.2262247
39,-50.46712875366211,1765051670.5749366
40,-63.04656982421875,1765051780.8324695
41,-76.76817321777344,1765051793.8942766
42,-91.781982421875,1765051806.8601558
43,-132.11769104003906,1765051819.7818477
44,-139.69198608398438,1765051832.63006
45,-143.20404052734375,1765051845.928045
46,-73.0572738647461,1765051858.6766894
47,-89.83160400390625,1765051872.426491
48,-135.8232421875,1765051886.5648375
49,-108.9122314453125,1765051900.4680235
50,-76.3005599975586,1765051916.2114646
51,-109.2831802368164,1765051932.0274174
52,-76.3008804321289,1765051945.4516988
53,-130.94606018066406,1765051958.8554635
54,-93.04145812988281,1765051972.2728841
55,-109.27274322509766,1765051985.834247
56,-127.57445526123047,1765051999.8968308
57,-118.76143646240234,1765052014.3755639
58,-111.56326293945312,1765052029.6624668
59,-87.75696563720703,1765052043.2925398
60,-66.0665283203125,1765052149.1979287
61,-87.0322036743164,1765052163.8022773
62,-80.08470153808594,1765052178.552547
63,-81.63006591796875,1765052191.598234
64,-86.55281066894531,1765052204.742896
65,-122.9109115600586,1765052217.6751573
66,-67.44925689697266,1765052230.452103
67,-96.197265625,1765052243.7522838
68,-90.76774597167969,1765052256.626888
69,-134.82427978515625,1765052269.8808475
70,-84.38423919677734,1765052282.9642532
71,-100.90770721435547,1765052296.4203668
72,-73.30264282226562,1765052309.6558912
73,-96.63654327392578,1765052322.9239087
74,-73.8749008178711,1765052336.0735495
75,-61.0217399597168,1765052349.0861747
76,-82.88690185546875,1765052362.6114202
77,-99.48685455322266,1765052375.6806977
78,-53.2584228515625,1765052389.03515
79,-79.15957641601562,1765052402.45468
80,-62.24283981323242,1765052507.9457026
81,-81.58344268798828,1765052522.1559691
82,-82.69647979736328,1765052536.3946192
83,-96.02003479003906,1765052549.5257862
84,-69.68961334228516,1765052562.791296
85,-104.43463134765625,1765052576.1604824
86,-98.43173217773438,1765052589.9151201
87,-74.67961883544922,1765052603.6823049
88,-104.1205825805664,1765052617.541353
89,-85.07923126220703,1765052631.5087473
90,-70.64183044433594,1765052646.1988242
91,-110.09481048583984,1765052661.1783464
92,-80.46751403808594,1765052676.2538419
93,-82.48743438720703,1765052690.2302752
94,-123.22015380859375,1765052704.292686
95,-123.86907958984375,1765052717.8688276
96,-72.96066284179688,1765052731.0574877
97,-77.05704498291016,1765052744.0933166
98,-105.25621032714844,1765052757.895521
99,-87.89926147460938,1765052771.6223173
100,-82.30013275146484,1765052877.6542156
101,-75.54428100585938,1765052891.243823
102,-75.00102233886719,1765052905.058936
103,-76.6151123046875,1765052918.2002146
104,-41.122249603271484,1765052931.8602314
105,-43.16937255859375,1765052945.0777466
106,-48.99462127685547,1765052958.7778497
107,-29.5124568939209,1765052972.9385855
108,-54.950782775878906,1765052987.5679827
109,-41.37919235229492,1765053002.3749914
110,-26.11468505859375,1765053016.0779438
111,-38.33924865722656,1765053029.8107243
112,-41.60307312011719,1765053043.4984827
113,-45.98515701293945,1765053056.9018183
114,-56.09101867675781,1765053070.587261
115,-42.212711334228516,1765053084.0603807
116,-31.323795318603516,1765053097.2485821
117,-21.01555824279785,1765053111.6872454
118,-19.197330474853516,1765053127.6575203
119,-29.54084014892578,1765053143.1742656
120,-27.690393447875977,1765053249.674428
121,-24.874174118041992,1765053263.187217
122,-36.7883415222168,1765053276.3918338
123,-13.030019760131836,1765053290.0297525
124,-27.787782669067383,1765053304.808205
125,-18.362930297851562,1765053318.7112343
126,-11.933114051818848,1765053332.1492183
127,-15.318753242492676,1765053345.693863
128,-12.567099571228027,1765053359.099658
129,-10.32833480834961,1765053372.7440722
130,-15.467667579650879,1765053386.1902387
131,-10.859585762023926,1765053399.4605727
132,-8.630599975585938,1765053412.6579082
133,-11.834145545959473,1765053427.1048453
134,-20.667295455932617,1765053440.575929
135,-24.796810150146484,1765053453.445109
136,-17.112773895263672,1765053467.0994506
137,-15.858565330505371,1765053480.44291
138,-19.952011108398438,1765053493.7298365
139,-24.760986328125,1765053507.4362667
140,-22.171714782714844,1765053609.9626875
141,-23.00419044494629,1765053623.425954
142,-16.151132583618164,1765053637.401115
143,-16.403127670288086,1765053652.044628
144,-14.29541015625,1765053668.2869391
145,-28.101259231567383,1765053682.5956352
146,-18.246994018554688,1765053695.8383288
147,-30.033660888671875,1765053709.1934574
148,-24.622758865356445,1765053722.238369
149,-25.20754051208496,1765053735.477885
150,-35.09825897216797,1765053748.4611819
151,-18.92148208618164,1765053761.6319413
152,-22.125953674316406,1765053774.6538262
153,-14.460084915161133,1765053787.8800006
154,-14.079092025756836,1765053800.7098234
155,-14.358598709106445,1765053813.9352849
156,-19.574676513671875,1765053827.2166948
157,-13.030355453491211,1765053840.041574
158,-15.216448783874512,1765053854.0854487
159,-9.039292335510254,1765053868.1892161
160,-15.22616195678711,1765053975.9505546
161,-11.53573989868164,1765053989.0098557
162,-14.101966857910156,1765054004.1531243
163,-11.137842178344727,1765054018.2990713
164,-12.016640663146973,1765054032.4241152
165,-13.320629119873047,1765054047.0239372
166,-13.1007080078125,1765054061.7257915
167,-20.039031982421875,1765054076.0566583
168,-14.698655128479004,1765054090.3112555
169,-12.37271785736084,1765054104.3878965
170,-14.407733917236328,1765054117.6158738
171,-13.475664138793945,1765054131.4783576
172,-12.88970947265625,1765054145.6357622
173,-16.013355255126953,1765054159.217356
174,-8.766757011413574,1765054172.4009442
175,-12.112247467041016,1765054185.8735068
176,-16.523340225219727,1765054199.5676205
177,-12.70873737335205,1765054214.6790893
178,-9.65476131439209,1765054228.8366272
179,-15.953643798828125,1765054242.834554
180,-11.151373863220215,1765054347.7790203
181,-17.4047794342041,1765054361.896457
182,-16.042898178100586,1765054375.7086453
183,-14.306631088256836,1765054389.390474
184,-15.800921440124512,1765054403.1117811
185,-14.772953987121582,1765054417.2103398
186,-20.381744384765625,1765054431.829096
187,-16.916404724121094,1765054445.7800853
188,-27.453899383544922,1765054460.6803849
189,-11.334659576416016,1765054474.6700938
190,-10.625032424926758,1765054487.824991
191,-9.004341125488281,1765054500.9763632
192,-11.752323150634766,1765054514.934824
193,-12.14350700378418,1765054528.337859
194,-12.268242835998535,1765054542.9460578
195,-9.842634201049805,1765054556.948916
196,-12.875473022460938,1765054571.7408168
197,-28.939781188964844,1765054586.8216038
198,-21.56326675415039,1765054601.2505682
199,-23.907167434692383,1765054614.5756967
200,-21.21303367614746,1765054728.103993
201,-26.70892906188965,1765054742.2665598
202,-29.833099365234375,1765054757.0982647
203,-14.648240089416504,1765054771.8843062
204,-24.421236038208008,1765054785.5791996
205,-16.652008056640625,1765054800.250519
206,-35.61599349975586,1765054814.473829
207,-23.347562789916992,1765054828.9787598
208,-18.400121688842773,1765054843.8609502
209,-18.503835678100586,1765054858.6929202
210,-48.68129348754883,1765054873.0811257
211,-19.957754135131836,1765054889.0611913
212,-30.761232376098633,1765054903.6039453
213,-35.37641143798828,1765054918.1444306
214,-30.253742218017578,1765054932.0921383
215,-25.589374542236328,1765054946.4520829
216,-28.884057998657227,1765054960.6487007
217,-20.762006759643555,1765054974.3406582
218,-24.357372283935547,1765054987.9449363
219,-17.20361328125,1765055001.6272755
220,-20.2562255859375,1765055110.768584
221,-36.20726013183594,1765055124.5264156
222,-18.358659744262695,1765055138.6188457
223,-22.627309799194336,1765055152.6421235
224,-22.448123931884766,1765055166.3714378
225,-11.124443054199219,1765055180.0467405
226,-13.666116714477539,1765055193.7824886
227,-12.904568672180176,1765055208.9238813
228,-10.466293334960938,1765055223.2439575
229,-8.879526138305664,1765055237.2709327
230,-10.560603141784668,1765055250.8386219
231,-9.1096830368042,1765055265.7173407
232,-9.516828536987305,1765055279.9442759
233,-10.90414810180664,1765055293.8196476
234,-9.620031356811523,1765055308.610171
235,-6.652076721191406,1765055322.1978297
236,-8.350909233093262,1765055335.7387588
237,-11.669869422912598,1765055348.5878067
238,-16.555822372436523,1765055363.0875554
239,-13.79460620880127,1765055376.3630733
