step,value,wall_time
1,-64.71736145019531,1765051039.1407893
2,-86.38260650634766,1765051052.720968
3,-70.96952819824219,1765051066.4442728
4,-73.98268127441406,1765051080.2422626
5,-65.88766479492188,1765051093.989583
6,-62.27986145019531,1765051107.3162606
7,-76.77645111083984,1765051120.817312
8,-96.65872192382812,1765051136.0433524
9,-78.44390869140625,1765051150.8049283
10,-96.0528793334961,1765051167.7747445
11,-110.3996810913086,1765051181.8381805
12,-98.38968658447266,1765051195.0227776
13,-92.71044921875,1765051209.6135273
14,-117.10127258300781,1765051224.0326219
15,-117.57453155517578,1765051238.564751
16,-123.06230926513672,1765051252.2476468
17,-115.51136779785156,1765051265.0139167
18,-166.9078826904297,1765051277.7585769
19,-123.40196990966797,1765051290.517072
20,-164.86936950683594,1765051391.824451
21,-109.96182250976562,1765051406.4768765
22,-179.59275817871094,1765051421.697913
23,-185.10679626464844,1765051437.2965674
24,-195.80886840820312,1765051452.4714527
25,-191.422119140625,1765051466.2360969
26,-211.0617218017578,1765051480.3323038
27,-125.68206787109375,1765051494.1063948
28,-137.53390502929688,1765051507.6322308
29,-162.2949981689453,1765051521.8510046
30,-165.02420043945312,1765051536.0106385
31,-157.51553344726562,1765051550.0353367
32,-168.20469665527344,1765051563.889386
33,-149.2315673828125,1765051578.6698055
34,-170.19203186035156,1765051596.0368984
35,-137.68588256835938,1765051612.1733935
36,-120.11264038085938,1765051626.55944
37,-96.59418487548828,1765051641.5469334
38,-117.1406021118164,1765051656.2242162
39,-103.06533813476562,1765051670.5724788
40,-115.64314270019531,1765051780.8314579
41,-129.3661346435547,1765051793.8929763
42,-144.3794708251953,1765051806.8581166
43,-184.71661376953125,1765051819.779837
44,-192.29139709472656,1765051832.6280427
45,-195.80316162109375,1765051845.9269743
46,-125.65709686279297,1765051858.675685
47,-142.43115234375,1765051872.4244468
48,-188.42230224609375,1765051886.5628042
49,-161.51133728027344,1765051900.4659975
50,-128.9000701904297,1765051916.2094584
51,-161.88258361816406,1765051932.0243518
52,-128.90013122558594,1765051945.449704
53,-183.54544067382812,1765051958.8539886
54,-145.6414031982422,1765051972.2708895
55,-161.87266540527344,1765051985.8332388
56,-180.17440795898438,1765051999.8957434
57,-171.36138916015625,1765052014.3725717
58,-164.16323852539062,1765052029.6604726
59,-140.35694885253906,1765052043.2915418
60,-118.66648864746094,1765052149.1958418
61,-139.63218688964844,1765052163.8007722
62,-132.6846923828125,1765052178.5512125
63,-134.2300567626953,1765052191.5968175
64,-139.15280151367188,1765052204.7408843
65,-175.51087951660156,1765052217.6738951
66,-120.04924774169922,1765052230.4508643
67,-148.7972412109375,1765052243.7512772
68,-143.36767578125,1765052256.6258817
69,-187.42425537109375,1765052269.878839
70,-136.98423767089844,1765052282.963251
71,-153.50767517089844,1765052296.4193628
72,-125.90264129638672,1765052309.654888
73,-149.2365264892578,1765052322.921704
74,-126.47489166259766,1765052336.0720634
75,-113.62173461914062,1765052349.08516
76,-135.48687744140625,1765052362.6093445
77,-152.08673095703125,1765052375.678098
78,-105.85841369628906,1765052389.0331411
79,-131.75936889648438,1765052402.4526823
80,-114.84266662597656,1765052507.9446986
81,-134.1834259033203,1765052522.1544788
82,-135.29647827148438,1765052536.393617
83,-148.62001037597656,1765052549.5247831
84,-122.28951263427734,1765052562.7902894
85,-157.03451538085938,1765052576.1584592
86,-151.03167724609375,1765052589.9138749
87,-127.27961730957031,1765052603.6798937
88,-156.72056579589844,1765052617.5393364
89,-137.67919921875,1765052631.5077412
90,-123.24181365966797,1765052646.1968129
91,-162.69479370117188,1765052661.1761386
92,-133.0674285888672,1765052676.2527893
93,-135.08706665039062,1765052690.2292309
94,-175.82000732421875,1765052704.290674
95,-176.46853637695312,1765052717.8663173
96,-125.55985260009766,1765052731.055478
97,-129.65625,1765052744.090848
98,-157.8555145263672,1765052757.894518
99,-140.49855041503906,1765052771.6209607
100,-134.89967346191406,1765052877.652753
101,-128.14407348632812,1765052891.2417252
102,-127.60079956054688,1765052905.057757
103,-129.21495056152344,1765052918.1978965
104,-93.72147369384766,1765052931.8582132
105,-95.76924133300781,1765052945.0763185
106,-101.5945053100586,1765052958.776351
107,-82.1123275756836,1765052972.9375856
108,-107.55062866210938,1765052987.5667734
109,-93.97914123535156,1765053002.3729627
110,-78.71460723876953,1765053016.076481
111,-90.939208984375,1765053029.808528
112,-94.20304870605469,1765053043.4964716
113,-98.58512878417969,1765053056.8998067
114,-108.69081115722656,1765053070.585266
115,-94.8126220703125,1765053084.0583858
116,-83.9237060546875,1765053097.246533
117,-73.61520385742188,1765053111.6851969
118,-71.7972183227539,1765053127.6565232
119,-82.14082336425781,1765053143.1722624
120,-80.29032897949219,1765053249.6724188
121,-77.47413635253906,1765053263.1852095
122,-89.38825988769531,1765053276.3908272
123,-65.62999725341797,1765053290.027718
124,-80.38775634765625,1765053304.8061798
125,-70.96290588378906,1765053318.7092118
126,-64.53309631347656,1765053332.1482112
127,-67.91868591308594,1765053345.691833
128,-65.1670913696289,1765053359.0986438
129,-62.928016662597656,1765053372.7430668
130,-68.06764221191406,1765053386.1882055
131,-63.45899200439453,1765053399.4595664
132,-61.23035430908203,1765053412.6569033
133,-64.43408203125,1765053427.1028342
134,-73.26726531982422,1765053440.573749
135,-77.39677429199219,1765053453.4430997
136,-69.71260833740234,1765053467.098432
137,-68.4584732055664,1765053480.4409013
138,-72.5517349243164,1765053493.7288322
139,-77.36091613769531,1765053507.4352624
140,-74.77091217041016,1765053609.960671
141,-75.6036605834961,1765053623.4239485
142,-68.74903869628906,1765053637.39905
143,-68.98319244384766,1765053652.0414982
144,-66.81006622314453,1765053668.2839205
145,-80.5831298828125,1765053682.5935078
146,-70.79155731201172,1765053695.836319
147,-82.35496520996094,1765053709.1913114
148,-77.20333862304688,1765053722.2363591
149,-77.77812194824219,1765053735.4768784
